state,state_latitude,state_longitude,district,district_latitude,district_longitude,township,township_latitude,township_longitude,city,city_latitude,city_longitude,village,village_latitude,village_longitude,ward,ward_latitude,ward_longitude
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ရေကြည်မြို့နယ်,17.35258,95.11993,ငသိုင်းချောင်းမြို့,17.39927,95.07731,​ကျောင်းကုန်းရွာ,17.2811203,95.04959869,,,
ပဲခူးတိုင်းဒေသကြီး,18.327,95.444,ပြည်ခရိုင်,18.9141,95.3139,ပြည်မြို့နယ်,18.82151,95.22103,ပြည်မြို့,18.82151,95.22103,​ကျောင်းကုန်းရွာ,18.82519913,95.29129791,,,
မကွေးတိုင်းဒေသကြီး,20.815,94.85,မင်းဘူးခရိုင်,20.3092,94.411,ပွင့်ဖြူမြို့နယ်,20.36334,94.66933,ပွင့်ဖြူမြို့,20.36334,94.66933,​ကျောင်းကုန်းရွာ,20.37841034,94.62552643,,,
နေပြည်တော်ပြည်ထောင်စုနယ်မြေ,19.8747,96.1941,ဥတ္တရခရိုင်,20.0308,96.1153,ပုဗ္ဗသီရိမြို့နယ်,19.891,96.043,ပုဗ္ဗသီရိမြို့,19.84383343,96.18252411,​ကျောင်းကုန်းရွာ,19.98917007,96.2263031,,,
ရန်ကုန်တိုင်းဒေသကြီး,16.797,96.158,ရန်ကုန်မြောက်ပိုင်းခရိုင်,17.2661,96.0095,မှော်ဘီမြို့နယ်,17.09987,96.0418,မှော်ဘီမြို့,17.09987,96.0418,​ကျောင်းကုန်းရွာ,17.12562943,96.00514221,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,မြောင်းမြခရိုင်,16.59926,94.92977,ဝါးခယ်မမြို့နယ်,16.60453,95.179276,ကျုံမငေးမြို့,16.43803471,95.13190322,​ကျောင်းစုကမ်းနားရွာ,16.6933403,95.22602844,,,
ပဲခူးတိုင်းဒေသကြီး,18.168,96.509,ပဲခူးခရိုင်,17.3403,96.4198,ကဝမြို့နယ်,17.08967,96.46632,ကဝမြို့,17.08967,96.46632,​ကျောင်းစုရွာ,17.16036034,96.64930725,တပ်မတော်စံပြရပ်ကွက်,16.9396258,96.1345425
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,မအူပင်ခရိုင်,16.73023,95.6494,ဓနုဖြူမြို့နယ်,17.25468,95.59583,ဓနုဖြူမြို့,17.25468,95.59583,​ကျောင်းစုရွာ,17.33728981,95.49310303,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,မအူပင်ခရိုင်,16.73023,95.6494,ဓနုဖြူမြို့နယ်,17.25468,95.59583,ဓနုဖြူမြို့,17.25468,95.59583,​ကျောင်းစုရွာ,17.25284958,95.64685822,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,မြောင်းမြခရိုင်,16.59926,94.92977,အိမ်မဲမြို့နယ်,16.8962,95.1805,အိမ်မဲမြို့,16.8962,95.1805,​ကျောင်းစုရွာ,16.70347214,95.13878632,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ဟင်္သာတခရိုင်,17.6458,95.461,ဟင်္သာတမြို့နယ်,17.6458,95.461,တလုတ္ထော်မြို့,17.6419,95.3046,​ကျောင်းစုရွာ,17.46772003,95.31198883,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ဟင်္သာတခရိုင်,17.6458,95.461,ဟင်္သာတမြို့နယ်,17.6458,95.461,တလုတ္ထော်မြို့,17.6419,95.3046,​ကျောင်းစုရွာ,17.43585968,95.4164505,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ကန်ကြီးထောင့်မြို့နယ်,16.9329,94.89476,ကန်ကြီးထောင့်မြို့,16.9329,94.89476,​ကျောင်းစုရွာ,16.95384026,94.97241211,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ကန်ကြီးထောင့်မြို့နယ်,16.9329,94.89476,ကန်ကြီးထောင့်မြို့,16.9329,94.89476,​ကျောင်းစုရွာ,16.97341156,95.02124786,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ကျောင်းကုန်းမြို့နယ်,17.10768,95.1904,ကျောင်းကုန်းမြို့,17.10768,95.1904,​ကျောင်းစုရွာ,17.17565918,95.13452911,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ကျုံပျော်မြို့နယ်,17.3,95.2,ကျုံပျော်မြို့,17.3,95.2,​ကျောင်းစုရွာ,17.276627,95.196628,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ကျုံပျော်မြို့နယ်,17.3,95.2,ကျုံပျော်မြို့,17.3,95.2,​ကျောင်းစုရွာ,17.38983917,95.35913849,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ကျုံပျော်မြို့နယ်,17.3,95.2,ကျုံပျော်မြို့,17.3,95.2,​ကျောင်းစုရွာ,17.46361923,95.30779266,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ကျုံပျော်မြို့နယ်,17.3,95.2,ကျုံပျော်မြို့,17.3,95.2,​ကျောင်းစုရွာ,17.49147714,95.21004176,,,
